Input Size,Run Time (ns)
0,2698
1,2779
2,2938
3,3212
4,3059
5,2997
6,3411
7,2953
8,3131
9,3131
10,3297
11,2686
12,2833
13,3271
14,2974
15,3514
16,3176
17,3276
18,3521
19,3328
20,3396
21,3587
22,3597
23,3717
24,3472
Input Size,Run Time (ns)
0,2353
1,2549
2,2305
3,2495
4,2988
5,2826
6,2983
7,2653
8,2668
9,3331
10,2875
11,2911
12,2894
13,3020
14,2794
15,3075
16,2749
17,3084
18,2934
19,3067
20,2942
21,3007
22,3130
23,3468
24,3150
Input Size,Run Time (ns)
0,2460
1,1982
2,2991
3,2394
4,2384
5,2349
6,2875
7,2930
8,2984
9,2562
10,2462
11,2756
12,2499
13,2491
14,2622
15,2685
16,2686
17,2617
18,2595
19,2835
20,2925
21,2630
22,2838
23,2761
24,2881
